RID,ESTABLISHMENT_ID,ALIASES
1,1,Oxford University
2,7,University of Newcastle upon Tyne
3,10,Cambridge University
4,11,UEA
5,15,Birkbeck College
6,15,BBK
7,17,Birmingham University
8,26,Warwick University
9,28,University of Kent at Canterbury
10,29,UCLan
11,31,Imperial College of Science Technology and Medicine
12,33,KCL
13,34,London University
14,34,UCL
15,40,Sheffield University
16,44,University College of North Wales
17,44,University of Wales Bangor
18,44,BU
19,53,Manchester University
20,53,University of Manchester Institute of Science and Technology
21,53,Victoria University of Manchester
22,57,LJMU
23,62,Barts and The London School of Medicine and Dentistry
24,62,London Hospital Medical College
25,62,Medical College of St Bartholomew's Hospital
26,62,Queen Mary College
27,62,Westfield College
28,62,QMUL
29,63,Universitas Dundensis
30,67,OU
31,71,St Andrews University
32,73,STFC
33,75,University College Wales
34,91,Hannah Research Institute
35,91,HRF
